Year,Blue whale,Bowhead whale,Fin whale,Gray whale,Humpback whale,Minke whale,Right whale,Sei/Bryde's whale
1890,340280,89000,762400,24600,231700,637000,84100,392300
2001,4727,9450,109600,15936,42070,506900,9239,181490
